Time resolution is 1 ps
                   0 clk=0, X=0, reset=1, highway=00, country=10
                   5 clk=1, X=0, reset=1, highway=00, country=10
                  10 clk=0, X=0, reset=0, highway=00, country=10
                  15 clk=1, X=0, reset=0, highway=00, country=10
                  20 clk=0, X=0, reset=0, highway=00, country=10
                  25 clk=1, X=0, reset=0, highway=00, country=10
                  30 clk=0, X=1, reset=0, highway=00, country=10
                  35 clk=1, X=1, reset=0, highway=01, country=10
                  40 clk=0, X=1, reset=0, highway=01, country=10
                  45 clk=1, X=1, reset=0, highway=01, country=10
                  50 clk=0, X=1, reset=0, highway=01, country=10
                  55 clk=1, X=1, reset=0, highway=01, country=10
                  60 clk=0, X=1, reset=0, highway=01, country=10
                  65 clk=1, X=1, reset=0, highway=01, country=10
                  70 clk=0, X=1, reset=0, highway=01, country=10
                  75 clk=1, X=1, reset=0, highway=10, country=10
                  80 clk=0, X=1, reset=0, highway=10, country=10
                  85 clk=1, X=1, reset=0, highway=10, country=10
                  90 clk=0, X=1, reset=0, highway=10, country=10
                  95 clk=1, X=1, reset=0, highway=10, country=10
                 100 clk=0, X=1, reset=0, highway=10, country=10
                 105 clk=1, X=1, reset=0, highway=10, country=10
                 110 clk=0, X=1, reset=0, highway=10, country=10
                 115 clk=1, X=1, reset=0, highway=10, country=01
                 120 clk=0, X=1, reset=0, highway=10, country=01
                 125 clk=1, X=1, reset=0, highway=10, country=01
                 130 clk=0, X=1, reset=0, highway=10, country=01
                 135 clk=1, X=1, reset=0, highway=10, country=01
                 140 clk=0, X=0, reset=0, highway=10, country=01
                 145 clk=1, X=0, reset=0, highway=10, country=01
                 150 clk=0, X=0, reset=0, highway=10, country=01
                 155 clk=1, X=0, reset=0, highway=10, country=01
                 160 clk=0, X=0, reset=0, highway=10, country=01
                 165 clk=1, X=0, reset=0, highway=10, country=01
                 170 clk=0, X=0, reset=0, highway=10, country=01
                 175 clk=1, X=0, reset=0, highway=10, country=00
                 180 clk=0, X=0, reset=0, highway=10, country=00
                 185 clk=1, X=0, reset=0, highway=10, country=00
                 190 clk=0, X=0, reset=0, highway=10, country=00
                 195 clk=1, X=0, reset=0, highway=10, country=00
                 200 clk=0, X=0, reset=0, highway=10, country=00
                 205 clk=1, X=0, reset=0, highway=00, country=10
                 210 clk=0, X=0, reset=0, highway=00, country=10
                 215 clk=1, X=0, reset=0, highway=00, country=10
                 220 clk=0, X=0, reset=0, highway=00, country=10
                 225 clk=1, X=0, reset=0, highway=00, country=10
                 230 clk=0, X=0, reset=0, highway=00, country=10
                 235 clk=1, X=0, reset=0, highway=00, country=10
                 240 clk=0, X=0, reset=0, highway=00, country=10
                 245 clk=1, X=0, reset=0, highway=00, country=10
                 250 clk=0, X=1, reset=0, highway=00, country=10
                 255 clk=1, X=1, reset=0, highway=01, country=10
                 260 clk=0, X=1, reset=0, highway=01, country=10
                 265 clk=1, X=1, reset=0, highway=01, country=10
                 270 clk=0, X=1, reset=0, highway=01, country=10
                 275 clk=1, X=1, reset=0, highway=01, country=10
                 280 clk=0, X=1, reset=0, highway=01, country=10
                 285 clk=1, X=1, reset=0, highway=01, country=10
                 290 clk=0, X=1, reset=0, highway=01, country=10
                 295 clk=1, X=1, reset=0, highway=10, country=10
                 300 clk=0, X=1, reset=0, highway=10, country=10
                 305 clk=1, X=1, reset=0, highway=10, country=10
                 310 clk=0, X=1, reset=0, highway=10, country=10
                 315 clk=1, X=1, reset=0, highway=10, country=10
                 320 clk=0, X=1, reset=0, highway=10, country=10
                 325 clk=1, X=1, reset=0, highway=10, country=10
